time,S1R01,S1R02,S1R03,S1R04,S1R05,S1R06,S1R07,S1R08,S1R09,S1R10,S1R11,S1R12,S1R13,S1R14,S1R15,S1R16,S1R17,S1R18,S1R19,S1R20,S1R21,S1R22,S2R01,S2R02,S2R03,S2R04,S2R05,S2R06,S2R07,S2R08,S2R09,S3R01,S3R02,S3R03,S3R04,S3R05,S3R06,S3R07,S3R08,S3R09
46.00000000000,-134865.80,-180897.62,-222602.34,-263234.60,-304282.67,-340257.88,-376077.87,-412167.89,-448400.84,-484707.60,-521765.78,-565479.95,-609200.59,-653978.64,-700914.69,-753277.24,-794712.41,-834365.23,-878941.30,-913899.86,-941419.51,-950304.38,-82313.288,-117173.56,-156470.44,-210933.30,-252314.63,-285421.46,-311485.76,-331441.22,-345197.78,-1304327.5,-1331357.9,-1354984.7,-1379073.7,-1407740.1,-1444908.1,-1489296.3,-1543862.8,0.0000000
92.00000000000,-127981.53,-165905.74,-199271.66,-231834.36,-265818.62,-295584.84,-325226.29,-355097.19,-385090.67,-415154.42,-445879.24,-482271.46,-517548.49,-553488.19,-591673.11,-635893.05,-670534.85,-703587.79,-740897.01,-768710.23,-790166.78,-796774.20,-76423.044,-105460.04,-138888.98,-186588.58,-220372.78,-245954.24,-265198.57,-279596.21,-290565.61,-1093892.7,-1115342.1,-1134043.5,-1152928.5,-1175106.4,-1204779.5,-1241767.4,-1289954.5,0.0000000
137.0000000000,-128004.23,-165924.96,-199337.19,-231977.98,-266075.50,-295929.08,-325648.70,-355593.27,-385658.89,-415795.88,-446598.26,-483082.37,-518417.72,-554395.34,-592608.91,-636844.59,-671533.02,-704647.96,-742036.17,-769954.38,-791508.67,-798172.03,-76565.902,-105744.44,-139315.24,-187169.11,-221099.00,-246818.25,-266194.94,-280712.32,-291730.78,-1096506.6,-1118068.0,-1136882.6,-1155885.3,-1178188.9,-1208003.7,-1245144.4,-1293494.2,0.0000000
183.0000000000,-127998.84,-165911.40,-199319.97,-231960.54,-266062.15,-295917.37,-325637.73,-355582.67,-385648.66,-415786.33,-446590.16,-483077.71,-518413.10,-554389.01,-592599.93,-636832.24,-671520.25,-704636.15,-742026.47,-769948.43,-791507.05,-798172.37,-76571.869,-105756.32,-139333.10,-187194.02,-221129.95,-246854.30,-266235.02,-280755.32,-291774.98,-1096552.8,-1118119.2,-1136938.3,-1155945.3,-1178253.7,-1208075.1,-1245223.1,-1293580.7,0.0000000
228.0000000000,-127161.96,-164077.75,-196508.03,-228206.97,-261457.12,-290572.65,-319560.86,-348771.77,-378104.12,-407510.22,-437572.53,-473195.98,-507578.33,-542570.94,-579806.85,-623099.11,-657028.18,-689418.52,-726016.09,-753194.87,-774113.94,-780557.90,-75989.175,-104592.59,-137569.43,-184697.63,-217872.30,-242862.29,-261585.07,-275568.95,-286292.30,-1073228.9,-1094199.5,-1112524.6,-1131040.0,-1152775.7,-1181905.4,-1218345.4,-1266038.9,0.0000000
274.0000000000,-127068.42,-163868.20,-196195.46,-227801.38,-260973.05,-290018.87,-318937.07,-348077.34,-377339.15,-406675.37,-436667.66,-472210.29,-506499.01,-541392.17,-578527.42,-621718.59,-655572.29,-687893.98,-724418.93,-751536.51,-772404.31,-778834.38,-75953.608,-104520.88,-137458.51,-184533.47,-217654.17,-242592.47,-261269.75,-275217.22,-285916.47,-1071114.0,-1092039.7,-1110331.8,-1128817.1,-1150519.7,-1179606.6,-1216001.9,-1263652.7,0.0000000
319.0000000000,-127474.50,-164757.04,-197560.50,-229626.25,-263215.29,-292623.11,-321899.34,-351398.47,-381018.97,-410713.04,-441068.33,-477034.52,-511789.18,-547162.40,-584773.17,-628422.05,-662646.54,-695323.43,-732236.99,-759720.15,-780903.02,-787442.64,-76242.408,-105097.54,-138332.10,-185768.93,-219265.65,-244566.59,-263568.73,-277781.03,-288626.07,-1082543.8,-1103763.6,-1122300.1,-1141028.9,-1163015.6,-1192445.2,-1229191.4,-1277171.3,0.0000000
365.0000000000,-127519.60,-164858.04,-197711.31,-229822.20,-263449.47,-292891.18,-322201.42,-351734.85,-381389.63,-411117.66,-441507.04,-477512.67,-512312.87,-547734.39,-585394.00,-629091.88,-663353.00,-696063.32,-733012.28,-760525.40,-781733.42,-788279.90,-76259.953,-105132.90,-138386.77,-185849.75,-219372.97,-244699.27,-263723.70,-277953.83,-288810.64,-1083573.3,-1104815.2,-1123367.9,-1142111.5,-1164114.6,-1193565.4,-1230333.7,-1278334.7,0.0000000
411.0000000000,-127315.86,-164412.03,-197026.44,-228906.74,-262324.79,-291585.01,-320715.74,-350069.25,-379544.17,-409092.79,-439300.18,-475093.48,-509660.06,-544840.85,-582261.98,-625730.27,-659805.46,-692337.70,-729091.87,-756421.78,-777471.94,-783963.55,-76115.340,-104844.14,-137949.30,-185231.02,-218565.88,-243710.53,-262572.25,-276669.73,-287453.50,-1077843.7,-1098938.3,-1117368.6,-1135990.3,-1157851.1,-1187130.3,-1223722.8,-1271559.1,0.0000000
457.0000000000,-127293.71,-164362.42,-196952.37,-228810.51,-262209.81,-291453.39,-320567.43,-349904.09,-379362.20,-408894.15,-439084.81,-474858.77,-509402.99,-544560.08,-581957.23,-625401.47,-659458.68,-691974.52,-728711.31,-756026.54,-777064.36,-783552.62,-76106.741,-104826.81,-137922.50,-185191.40,-218513.27,-243645.48,-262496.27,-276585.00,-287363.00,-1077338.5,-1098422.3,-1116844.6,-1135459.1,-1157311.9,-1186580.6,-1223162.4,-1270988.3,0.0000000
