obsnme,obsval,weight,obgnme
c1,60000.0,1.0,less_obs
c2,80000.0,1.0,less_obs
c3,60000.0,1.0,less_obs
c4,120000.0,1.0,less_obs
h01_00_00,0.0,1.0,head
h01_00_01,0.0,1.0,head
h01_00_02,0.0,1.0,head
h01_00_03,0.0,1.0,head
h01_00_04,0.0,1.0,head
h01_00_05,0.0,1.0,head
h01_00_06,0.0,1.0,head
h01_00_07,0.0,1.0,head
h01_00_08,0.0,1.0,head
h01_00_09,0.0,1.0,head
h01_00_10,0.0,1.0,head
h01_00_11,0.0,1.0,head
h01_00_12,0.0,1.0,head
h01_00_13,0.0,1.0,head
h01_00_14,0.0,1.0,head
h01_00_15,0.0,1.0,head
h01_00_16,0.0,1.0,head
h01_00_17,0.0,1.0,head
h01_00_18,0.0,1.0,head
h01_00_19,0.0,1.0,head
h01_00_20,0.0,1.0,head
h01_00_21,0.0,1.0,head
h01_00_22,0.0,1.0,head
h01_00_23,0.0,1.0,head
h01_01_00,0.0,1.0,head
h01_01_01,0.0,1.0,head
h01_01_02,0.0,1.0,head
h01_01_03,0.0,1.0,head
h01_01_04,0.0,1.0,head
h01_01_05,0.0,1.0,head
h01_01_06,0.0,1.0,head
h01_01_07,0.0,1.0,head
h01_01_08,0.0,1.0,head
h01_01_09,0.0,1.0,head
h01_01_10,0.0,1.0,head
h01_01_11,0.0,1.0,head
h01_01_12,0.0,1.0,head
h01_01_13,0.0,1.0,head
h01_01_14,0.0,1.0,head
h01_01_15,0.0,1.0,head
h01_01_16,0.0,1.0,head
h01_01_17,0.0,1.0,head
h01_01_18,0.0,1.0,head
h01_01_19,0.0,1.0,head
h01_01_20,0.0,1.0,head
h01_01_21,0.0,1.0,head
h01_01_22,0.0,1.0,head
h01_01_23,0.0,1.0,head
h01_02_00,0.0,1.0,head
h01_02_01,0.0,1.0,head
h01_02_02,0.0,1.0,head
h01_02_03,0.0,1.0,head
h01_02_04,0.0,1.0,head
h01_02_05,0.0,1.0,head
h01_02_06,0.0,1.0,head
h01_02_07,0.0,1.0,head
h01_02_08,0.0,1.0,head
h01_02_09,0.0,1.0,head
h01_02_10,0.0,1.0,head
h01_02_11,0.0,1.0,head
h01_02_12,0.0,1.0,head
h01_02_13,0.0,1.0,head
h01_02_14,0.0,1.0,head
h01_02_15,0.0,1.0,head
h01_02_16,0.0,1.0,head
h01_02_17,0.0,1.0,head
h01_02_18,0.0,1.0,head
h01_02_19,0.0,1.0,head
h01_02_20,0.0,1.0,head
h01_02_21,0.0,1.0,head
h01_02_22,0.0,1.0,head
h01_02_23,0.0,1.0,head
h01_03_00,0.0,1.0,head
h01_03_01,0.0,1.0,head
h01_03_02,0.0,1.0,head
h01_03_03,0.0,1.0,head
h01_03_04,0.0,1.0,head
h01_03_05,0.0,1.0,head
h01_03_06,0.0,1.0,head
h01_03_07,0.0,1.0,head
h01_03_08,0.0,1.0,head
h01_03_09,0.0,1.0,head
h01_03_10,0.0,1.0,head
h01_03_11,0.0,1.0,head
h01_03_12,0.0,1.0,head
