pilbl,equation,weight,obgnme,names
pi_obj_func,0.046000 * w000_00 + 0.046000 * w000_01 + 0.045000 * w000_02 + 0.046000 * w000_03 + 0.045000 * w000_04 + 0.046000 * w000_05 + 0.045000 * w000_06 + 0.046000 * w000_07 + 0.046000 * w000_08 + 0.046000 * w000_09 + 0.045000 * w000_10 + 0.046000 * w000_11 + 0.045000 * w000_12 + 0.046000 * w000_13 + 0.045000 * w000_14 + 0.046000 * w000_15 + 0.046000 * w000_16 + 0.046000 * w000_17 + 0.045000 * w000_18 + 0.046000 * w000_19 + 0.045000 * w000_20 + 0.046000 * w000_21 + 0.045000 * w000_22 + 0.046000 * w000_23 + 0.046000 * w001_00 + 0.046000 * w001_01 + 0.045000 * w001_02 + 0.046000 * w001_03 + 0.045000 * w001_04 + 0.046000 * w001_05 + 0.045000 * w001_06 + 0.046000 * w001_07 + 0.046000 * w001_08 + 0.046000 * w001_09 + 0.045000 * w001_10 + 0.046000 * w001_11 + 0.045000 * w001_12 + 0.046000 * w001_13 + 0.045000 * w001_14 + 0.046000 * w001_15 + 0.046000 * w001_16 + 0.046000 * w001_17 + 0.045000 * w001_18 + 0.046000 * w001_19 + 0.045000 * w001_20 + 0.046000 * w001_21 + 0.045000 * w001_22 + 0.046000 * w001_23 + 0.046000 * w002_00 + 0.046000 * w002_01 + 0.045000 * w002_02 + 0.046000 * w002_03 + 0.045000 * w002_04 + 0.046000 * w002_05 + 0.045000 * w002_06 + 0.046000 * w002_07 + 0.046000 * w002_08 + 0.046000 * w002_09 + 0.045000 * w002_10 + 0.046000 * w002_11 + 0.045000 * w002_12 + 0.046000 * w002_13 + 0.045000 * w002_14 + 0.046000 * w002_15 + 0.046000 * w002_16 + 0.046000 * w002_17 + 0.045000 * w002_18 + 0.046000 * w002_19 + 0.045000 * w002_20 + 0.046000 * w002_21 + 0.045000 * w002_22 + 0.046000 * w002_23 + 0.046000 * w003_00 + 0.046000 * w003_01 + 0.045000 * w003_02 + 0.046000 * w003_03 + 0.045000 * w003_04 + 0.046000 * w003_05 + 0.045000 * w003_06 + 0.046000 * w003_07 + 0.046000 * w003_08 + 0.046000 * w003_09 + 0.045000 * w003_10 + 0.046000 * w003_11 + 0.045000 * w003_12 + 0.046000 * w003_13 + 0.045000 * w003_14 + 0.046000 * w003_15 + 0.046000 * w003_16 + 0.046000 * w003_17 + 0.045000 * w003_18 + 0.046000 * w003_19 + 0.045000 * w003_20 + 0.046000 * w003_21 + 0.045000 * w003_22 + 0.046000 * w003_23 + -0.055200 * im9 + -0.054000 * im10 + -0.054000 * im11 + -0.054000 * im12 = 0.0,1.0,obj_func,"['w000_00', 'w000_01', 'w000_02', 'w000_03', 'w000_04', 'w000_05', 'w000_06', 'w000_07', 'w000_08', 'w000_09', 'w000_10', 'w000_11', 'w000_12', 'w000_13', 'w000_14', 'w000_15', 'w000_16', 'w000_17', 'w000_18', 'w000_19', 'w000_20', 'w000_21', 'w000_22', 'w000_23', 'w001_00', 'w001_01', 'w001_02', 'w001_03', 'w001_04', 'w001_05', 'w001_06', 'w001_07', 'w001_08', 'w001_09', 'w001_10', 'w001_11', 'w001_12', 'w001_13', 'w001_14', 'w001_15', 'w001_16', 'w001_17', 'w001_18', 'w001_19', 'w001_20', 'w001_21', 'w001_22', 'w001_23', 'w002_00', 'w002_01', 'w002_02', 'w002_03', 'w002_04', 'w002_05', 'w002_06', 'w002_07', 'w002_08', 'w002_09', 'w002_10', 'w002_11', 'w002_12', 'w002_13', 'w002_14', 'w002_15', 'w002_16', 'w002_17', 'w002_18', 'w002_19', 'w002_20', 'w002_21', 'w002_22', 'w002_23', 'w003_00', 'w003_01', 'w003_02', 'w003_03', 'w003_04', 'w003_05', 'w003_06', 'w003_07', 'w003_08', 'w003_09', 'w003_10', 'w003_11', 'w003_12', 'w003_13', 'w003_14', 'w003_15', 'w003_16', 'w003_17', 'w003_18', 'w003_19', 'w003_20', 'w003_21', 'w003_22', 'w003_23', 'im9', 'im10', 'im11', 'im12']"
pi_const1,1.0 * w000_00 + 1.0 * w000_01 + 1.0 * w001_00 + 1.0 * w001_01 + 1.0 * w002_00 + 1.0 * w002_01 + 1.0 * w003_00 + 1.0 * w003_01 = 320000.0,1.0,less_pi,"['w000_00', 'w000_01', 'w001_00', 'w001_01', 'w002_00', 'w002_01', 'w003_00', 'w003_01']"
pi_const2,1.0 * w000_00 + 1.0 * w000_01 + 1.0 * w001_00 + 1.0 * w001_01 + 1.0 * w002_00 + 1.0 * w002_01 + 1.0 * w003_00 + 1.0 * w003_01 = 120000.0,1.0,greater_pi,"['w000_00', 'w000_01', 'w001_00', 'w001_01', 'w002_00', 'w002_01', 'w003_00', 'w003_01']"
pi_const3,1.0 * w000_02 + 1.0 * w000_03 + 1.0 * w001_02 + 1.0 * w001_03 + 1.0 * w002_02 + 1.0 * w002_03 + 1.0 * w003_02 + 1.0 * w003_03 = 213333.3333333333,1.0,less_pi,"['w000_02', 'w000_03', 'w001_02', 'w001_03', 'w002_02', 'w002_03', 'w003_02', 'w003_03']"
pi_const4,1.0 * w000_02 + 1.0 * w000_03 + 1.0 * w001_02 + 1.0 * w001_03 + 1.0 * w002_02 + 1.0 * w002_03 + 1.0 * w003_02 + 1.0 * w003_03 = 80000.0,1.0,greater_pi,"['w000_02', 'w000_03', 'w001_02', 'w001_03', 'w002_02', 'w002_03', 'w003_02', 'w003_03']"
pi_const5,1.0 * w000_04 + 1.0 * w000_05 + 1.0 * w001_04 + 1.0 * w001_05 + 1.0 * w002_04 + 1.0 * w002_05 + 1.0 * w003_04 + 1.0 * w003_05 = 320000.0,1.0,less_pi,"['w000_04', 'w000_05', 'w001_04', 'w001_05', 'w002_04', 'w002_05', 'w003_04', 'w003_05']"
pi_const6,1.0 * w000_04 + 1.0 * w000_05 + 1.0 * w001_04 + 1.0 * w001_05 + 1.0 * w002_04 + 1.0 * w002_05 + 1.0 * w003_04 + 1.0 * w003_05 = 120000.0,1.0,greater_pi,"['w000_04', 'w000_05', 'w001_04', 'w001_05', 'w002_04', 'w002_05', 'w003_04', 'w003_05']"
pi_const7,1.0 * w000_06 + 1.0 * w000_07 + 1.0 * w001_06 + 1.0 * w001_07 + 1.0 * w002_06 + 1.0 * w002_07 + 1.0 * w003_06 + 1.0 * w003_07 = 213333.3333333333,1.0,less_pi,"['w000_06', 'w000_07', 'w001_06', 'w001_07', 'w002_06', 'w002_07', 'w003_06', 'w003_07']"
pi_const8,1.0 * w000_06 + 1.0 * w000_07 + 1.0 * w001_06 + 1.0 * w001_07 + 1.0 * w002_06 + 1.0 * w002_07 + 1.0 * w003_06 + 1.0 * w003_07 = 80000.0,1.0,greater_pi,"['w000_06', 'w000_07', 'w001_06', 'w001_07', 'w002_06', 'w002_07', 'w003_06', 'w003_07']"
pi_const9,1.0 * w000_08 + 1.0 * w000_09 + 1.0 * w001_08 + 1.0 * w001_09 + 1.0 * w002_08 + 1.0 * w002_09 + 1.0 * w003_08 + 1.0 * w003_09 = 320000.0,1.0,less_pi,"['w000_08', 'w000_09', 'w001_08', 'w001_09', 'w002_08', 'w002_09', 'w003_08', 'w003_09']"
