parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
im10,none,relative,18000.0,0.0,1000000.0,external,-1.0,0.0,1
im11,none,relative,18500.0,0.0,1000000.0,external,-1.0,0.0,1
im12,none,relative,27000.0,0.0,1000000.0,external,-1.0,0.0,1
im9,none,relative,10000.0,0.0,1000000.0,external,-1.0,0.0,1
q1,none,relative,4700.0,0.0,50000.0,pumping,-1.0,0.0,1
q2a,none,relative,43500.0,0.0,50000.0,pumping,-1.0,0.0,1
q2b,none,relative,22400.0,0.0,50000.0,pumping,-1.0,0.0,1
q2c,none,relative,25600.0,0.0,50000.0,pumping,-1.0,0.0,1
q2d,none,relative,10300.0,0.0,50000.0,pumping,-1.0,0.0,1
q4a,none,relative,10300.0,0.0,50000.0,pumping,-1.0,0.0,1
q4b,none,relative,18000.0,0.0,50000.0,pumping,-1.0,0.0,1
seg1,fixed,factor,5.0,4.5,6.0,sfr_seg,1.0,0.0,1
seg2,fixed,factor,5.0,4.5,5.5,sfr_seg,1.0,0.0,1
seg3,fixed,factor,5.0,4.5,5.5,sfr_seg,1.0,0.0,1
t00_00,log,factor,5000.0,4000.0,5500.0,trans,0.01,0.0,1
t00_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_16,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_17,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_18,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_19,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_20,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_21,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_22,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_23,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_24,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_25,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_26,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_27,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_28,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t00_29,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_00,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_01,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_02,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_03,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_04,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_05,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_06,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_07,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_08,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_09,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_10,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_11,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_12,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_13,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_14,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
t01_15,log,factor,5000.0,4000.0,6000.0,trans,0.01,0.0,1
